2026-09-25 11:28:08.597 | ==============================================================================
2026-09-25 11:28:08.597 | CASO leader_follower x C1: perda do enlace (2,5), grafo conexo
2026-09-25 11:28:08.597 | Grafo nominal: (1,2) (2,3) (3,4) (4,5) (5,6) (2,5) | agentes: 1(816) 2(824) 3(828) 4(830) 5(850) 6(832)
2026-09-25 11:28:08.597 | FALHA PERMANENTE (o dia todo): enlace(s) fora = (2,5)
2026-09-25 11:28:08.599 | [t=00:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 11:28:08.601 | [t=01:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 11:28:08.603 | [t=02:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 11:28:08.604 | [t=03:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 11:28:08.607 | [t=04:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 11:28:08.609 | [t=05:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 11:28:08.612 | [t=06:00] sem sobretensão: nenhuma mensagem trocada
2026-09-25 11:28:08.614 | [t_sim=07:00:00.000 k=000] MSG #0000001 1(816) -> 2(824) stNum=1 sqNum=0 | rho=0.000000 V=1.056254 pu | ENTREGUE
2026-09-25 11:28:08.614 | [t_sim=07:00:00.000 k=000] MSG #0000002 2(824) -> 1(816) stNum=1 sqNum=0 | rho=0.000000 V=1.055885 pu | ENTREGUE
2026-09-25 11:28:08.614 | [t_sim=07:00:00.000 k=000] MSG #0000003 2(824) -> 3(828) stNum=1 sqNum=0 | rho=0.000000 V=1.055885 pu | ENTREGUE
2026-09-25 11:28:08.614 | [t_sim=07:00:00.000 k=000] MSG #0000004 2(824) -> 5(850) stNum=1 sqNum=0 | rho=0.000000 V=1.055885 pu | PERDIDA (enlace (2,5) fora (falha permanente))
2026-09-25 11:28:08.614 | [t_sim=07:00:00.000 k=000] MSG #0000005 3(828) -> 2(824) stNum=1 sqNum=0 | rho=0.000000 V=1.055824 pu | ENTREGUE
2026-09-25 11:28:08.614 | [t_sim=07:00:00.000 k=000] MSG #0000006 3(828) -> 4(830) stNum=1 sqNum=0 | rho=0.000000 V=1.055824 pu | ENTREGUE
2026-09-25 11:28:08.614 | [t_sim=07:00:00.000 k=000] MSG #0000007 4(830) -> 3(828) stNum=1 sqNum=0 | rho=0.000000 V=1.053994 pu | ENTREGUE
2026-09-25 11:28:08.614 | [t_sim=07:00:00.000 k=000] MSG #0000008 4(830) -> 5(850) stNum=1 sqNum=0 | rho=0.000000 V=1.053994 pu | ENTREGUE
2026-09-25 11:28:08.614 | [t_sim=07:00:00.000 k=000] MSG #0000009 5(850) -> 4(830) stNum=1 sqNum=0 | rho=0.000000 V=1.056262 pu | ENTREGUE
2026-09-25 11:28:08.614 | [t_sim=07:00:00.000 k=000] MSG #0000010 5(850) -> 6(832) stNum=1 sqNum=0 | rho=0.000000 V=1.056262 pu | ENTREGUE
2026-09-25 11:28:08.614 | [t_sim=07:00:00.000 k=000] MSG #0000011 5(850) -> 2(824) stNum=1 sqNum=0 | rho=0.000000 V=1.056262 pu | PERDIDA (enlace (2,5) fora (falha permanente))
2026-09-25 11:28:08.614 | [t_sim=07:00:00.000 k=000] MSG #0000012 6(832) -> 5(850) stNum=1 sqNum=0 | rho=0.000000 V=1.050274 pu | ENTREGUE
2026-09-25 11:28:08.614 | [t_sim=07:00:00.000 k=000] enlaces 5/6 | perdidos: (2,5) | isolados: - | partições: {1,2,3,4,5,6} | λ2=0.268 | msgs 10 enviadas, 2 perdidas | saltos até o líder 1:0 2:1 3:2 4:3 5:4 6:5 | idade da info 1:0 2:0 3:0 4:0 5:0 6:0
2026-09-25 11:28:08.615 | [t_sim=07:00:00.200 k=001] MSG #0000013 1(816) -> 2(824) stNum=2 sqNum=0 | rho=0.031308 V=1.056201 pu | ENTREGUE
2026-09-25 11:28:08.615 | [t_sim=07:00:00.200 k=001] MSG #0000014 2(824) -> 1(816) stNum=2 sqNum=0 | rho=0.000000 V=1.055833 pu | ENTREGUE
